ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016061601,4001,19.71554098,12.9731653,1.463145241,-0.533100038,26.59888638,98043.11007,-8.43E-06,-1.73E-18,0.164044159,-219.8507983,1.557237826,-488
2016061602,4002,19.52044817,13.11558143,1.81323988,-0.738801405,34.30224738,98013.48487,-8.10E-06,-1.73E-18,0.164044159,-213.0994055,1.957975071,735
2016061603,4003,19.37900588,12.96772957,2.078248226,-0.969507755,40.34897161,97968.13271,-1.11E-05,-1.73E-18,0.164044159,-204.174734,2.293264262,1534
2016061604,4004,18.12431525,12.16976437,2.176629251,-1.061035428,41.83994471,97943.26217,-1.10E-05,-1.73E-18,0.164044159,-201.1005198,2.421468785,-670
2016061605,4005,18.12553458,11.86971206,2.217842923,-1.093589085,42.08844022,97934.85008,-1.07E-05,-1.73E-18,0.164044159,-200.2850193,2.47280495,259
2016061606,4006,23.31744197,11.29787323,2.464238643,-1.135106792,46.312864,97954.96596,-2.11E-05,-1.73E-18,0.163761824,-205.0445187,2.713105144,-165
2016061607,4007,24.40386506,12.70681452,2.381811298,-0.858164813,62.7963999,97953.50298,-5.53E-05,-1.73E-18,0.163761824,-220.4956546,2.531693486,625
2016061608,4008,26.36820578,13.98421113,1.956822997,-0.470351685,121.4413417,97982.3967,-0.00011322,-1.73E-18,0.163761824,-240.2831322,2.012557316,0
2016061609,4009,27.7643387,13.9102852,2.159789256,-0.522720611,649.1629863,97957.52616,-0.000198244,-1.73E-18,0.163761824,-240.0009404,2.222144564,513
2016061610,4010,32.82577778,9.642149794,2.290963955,-1.504520028,1588.558869,97911.44251,-0.000285647,-1.73E-18,0.163761824,-178.1481745,2.740820381,-141
2016061611,4011,32.64165894,10.21398862,2.162448202,-1.605483543,2868.227946,97872.67373,-0.000347519,-1.73E-18,0.163761824,-167.7874577,2.69328046,803
2016061612,4012,32.63068497,10.93476645,2.141176629,-1.423371782,3131.136202,97819.27522,-0.000378764,-1.73E-18,0.163761824,-177.1404924,2.571113492,-251
2016061613,4013,35.20712939,6.612273746,2.076918753,-0.633591761,3300.195985,97727.47368,-0.000382566,-1.73E-18,0.163761824,-229.4461384,2.171411989,-142
2016061614,4014,35.23761264,7.550480789,2.187265037,0.136372991,3451.36409,97626.16281,-0.000373781,-1.73E-18,0.163761824,271.5350928,2.191512249,498
2016061615,4015,35.43392478,7.835313055,2.432331284,0.810563942,3556.477694,97547.89376,-0.000355742,-1.73E-18,0.163761824,224.842436,2.563834897,543
2016061616,4016,35.56683176,6.466596175,3.118339512,0.950214411,3821.125418,97488.64336,-0.000286959,-1.73E-18,0.163761824,229.5029995,3.259900112,492
2016061617,4017,35.81069777,4.790216962,2.51653126,1.887665369,3107.777623,97471.08769,-0.000175897,-1.73E-18,0.163761824,166.9009208,3.145824237,589
2016061618,4018,32.5587445,6.78730426,1.511449438,2.432113484,885.068063,97456.45796,-0.000148211,-1.73E-18,0.163454938,100.0883059,2.863504043,1065
2016061619,4019,32.1978228,7.001472032,1.284109502,2.63309693,267.8052008,97472.9164,-7.07E-05,-1.73E-18,0.163454938,81.67380567,2.929528402,983
2016061620,4020,32.12344367,6.741644126,1.587672575,2.6708403,164.3482342,97468.89323,-2.98E-05,-1.73E-18,0.163454938,96.53873195,3.107103493,-59
2016061621,4021,32.11368903,5.63058086,1.994491407,2.353795991,147.3677072,97501.07863,-2.27E-05,-1.73E-18,0.163454938,126.5317518,3.085182578,1213
2016061622,4022,30.48710273,7.274345692,2.225376605,2.212258352,173.9567275,97525.94917,-2.12E-05,-1.73E-18,0.163454938,141.9037724,3.137895482,1274
2016061623,4023,25.90364103,9.333400315,2.271021856,1.865019347,194.8303508,97494.49525,-1.98E-05,-1.73E-18,0.163454938,158.9844219,2.938679539,512
2016061700,4024,25.10010252,10.98912375,2.163334518,1.419175786,170.4777902,97477.30532,-1.81E-05,-1.73E-18,0.163454938,178.237004,2.587291276,1134
2016061701,4025,23.83443792,11.83818482,1.940426159,1.078070078,112.6611668,97431.58742,-1.56E-05,-1.73E-18,0.163454938,191.4616708,2.219794759,1003
2016061702,4026,23.56862397,11.92841794,1.67408834,0.826604874,74.06152997,97396.84181,-1.31E-05,-1.73E-18,0.163454938,200.1869637,1.867042417,-112
2016061703,4027,22.73582154,12.30022189,1.595206257,0.659118669,57.57799406,97361.36472,-1.16E-05,-1.73E-18,0.163454938,212.2152645,1.726012868,511
2016061704,4028,21.18849169,12.72855744,1.69979149,0.485970958,50.20596042,97364.29067,-1.08E-05,-1.73E-18,0.163454938,232.6184402,1.76789674,643
2016061705,4029,21.00559218,12.80357051,1.750311476,0.524657912,50.37162409,97381.4806,-1.03E-05,-1.73E-18,0.163454938,230.3222099,1.827253729,82
2016061706,4030,24.63431844,12.68615874,1.868191443,0.405766296,42.58543125,97457.18944,-1.92E-05,-1.73E-18,0.163172603,244.2457474,1.911749344,399
2016061707,4031,26.28407201,13.39171653,1.485746288,0.595426731,92.53303001,97498.88417,-4.68E-05,-1.73E-18,0.163172603,214.1343901,1.600617076,102
2016061708,4032,27.72410081,13.43302808,1.149832698,0.546832142,191.0200863,97554.84288,-9.33E-05,-1.73E-18,0.163172603,202.838152,1.273240207,0
2016061709,4033,29.26289535,13.51565118,0.353478186,0.308105326,352.2936763,97560.32903,-0.000151414,-1.73E-18,0.163172603,153.6971672,0.468909074,161
2016061710,4034,33.81465446,11.0326096,-1.229481368,-0.195768666,653.5530737,97595.80612,-0.00021529,-1.73E-18,0.163172603,254.3207841,1.244969801,654
2016061711,4035,34.32921174,11.25003881,-3.020281916,-0.578863874,1029.52679,97610.43585,-0.000277761,-1.73E-18,0.163172603,248.6580803,3.075253849,402
2016061712,4036,34.13411894,12.02299965,-4.301007871,-0.686432479,1390.83927,97630.91747,-0.000292054,-1.73E-18,0.163172603,254.2559407,4.355440076,1013
2016061713,4037,35.57902506,9.953073565,-4.46408993,-0.659068536,1710.487336,97632.0147,-0.000282856,-1.73E-18,0.163172603,256.3591266,4.512479389,-755
2016061714,4038,34.49504063,10.09875114,-4.568232006,-1.113404354,1811.707843,97640.06105,-0.000215272,-1.73E-18,0.163172603,239.7113511,4.701958413,989
2016061715,4039,34.0475465,10.1237555,-4.439716253,-1.833830933,1822.475982,97612.63031,-0.000215627,-1.73E-18,0.163172603,212.2361344,4.803542057,806
2016061716,4040,33.91220086,9.114883959,-3.118662941,-1.891861365,1818.003063,97666.7603,-0.000195022,-1.73E-18,0.163172603,184.593449,3.647629088,938
2016061717,4041,34.35237902,8.049480827,-3.305232362,-2.79345612,1475.327746,97649.20463,-0.000132177,-1.73E-18,0.163172603,156.4412047,4.327581087,885
2016061718,4042,30.5346566,10.86953769,-3.88576904,-2.428760806,975.3547672,97721.25604,-9.41E-05,-1.73E-18,0.162877993,182.1902938,4.582366211,925
2016061719,4043,30.62976434,7.704855528,-3.899063773,-2.706646369,721.723677,97795.13617,-6.12E-05,-1.73E-18,0.162877993,173.5178548,4.746433701,1014
