"","ymdh","time_jjj","t2m","d2m","u10","v10","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"81",2016010421,85,-0.546066627,-10.46026786,-0.24345533,-0.367029209,44.65622722,100824.2215,-8.85e-07,8.16e-07,0.151989677,105.4219319,0.440432671,765
"82",2016010422,86,-0.594839829,-10.55267528,0.154943505,-0.03913368,42.50259942,100809.226,-9.97e-07,1.63e-06,0.152051054,-238.2124931,0.159809057,432
"83",2016010423,87,-1.910496964,-10.03519376,0.231609799,-0.154722751,47.72100526,100838.8512,-1.2e-06,2.86e-06,0.152087881,-176.7328391,0.278535866,546
"84",2016010501,89,-1.487389433,-8.539280789,0.129240354,-0.620381581,64.95002771,100817.6381,-2.31e-06,2.65e-05,0.153094467,-36.96955485,0.633700541,1084
"85",2016010502,90,-1.309367244,-6.916171732,-0.220411126,-0.727950186,74.9726802,100811.0547,-1.69e-06,5.06e-05,0.154150155,52.92149013,0.760586969,1196
"86",2016010503,91,-1.356921117,-7.845681607,-0.992391961,-0.536874375,79.11427213,100797.5222,-3.06e-06,1.88e-05,0.155193567,193.4814054,1.128306651,410
"87",2016010504,92,-2.44944085,-8.105509514,-1.329635024,0.053809369,93.11285288,100777.4063,-2.38e-06,1.14e-05,0.155795064,-275.4628417,1.330723392,151
"88",2016010505,93,-2.712816143,-7.305370019,-0.965802495,0.480309452,116.0572722,100781.7953,-2.95e-06,3.67e-06,0.155942369,-199.6736174,1.078643421,172
"89",2016010506,94,-4.199179486,-11.08537684,-0.780119389,0.639303399,162.5259337,100797.1565,-2.95e-06,8.16e-07,0.15486213,-159.1706029,1.008610479,213
"90",2016010507,95,-4.834450447,-10.75705874,-0.977767755,0.68601082,157.3075279,100824.2215,-2.53e-06,4.08e-07,0.154874406,-172.6184162,1.194420624,17.8
"91",2016010508,96,-4.874688339,-10.63529838,-0.943201449,0.642134152,140.9068238,100905.7822,-2.5e-06,1.63e-06,0.154911232,-175.1527689,1.141036915,296
"92",2016010509,97,-4.195521496,-12.90091075,-0.614378384,0.858214946,293.0689116,100948.5742,-1.31e-05,8.16e-07,0.154923507,-111.834712,1.055458996,388
"93",2016010510,98,-1.413010299,-14.1413444,-0.360892139,1.24036657,446.4734769,100952.2316,-3.47e-05,8.16e-07,0.154911232,-50.9650319,1.291801983,773
"94",2016010511,99,-1.22767213,-13.75866899,0.174885605,1.714517658,646.5951993,100904.3192,-5.7e-05,8.16e-07,0.154874406,18.29722116,1.723413988,896
"95",2016010512,100,-1.135003046,-12.67478437,0.899891716,2.141017741,871.5664732,100783.9897,-7.03e-05,8.16e-07,0.154813029,71.62050531,2.322447431,2123
"96",2016010513,101,1.174408088,-10.92230494,1.424590515,2.542512842,991.1756484,100659.2713,-7.61e-05,8.16e-07,0.1547271,91.93010943,2.914417555,2371
"97",2016010514,102,1.137828186,-10.5178866,1.725937799,2.641117396,1062.245366,100541.8677,-7.43e-05,-1.73e-18,0.154604346,104.1881656,3.155053468,1803
"98",2016010515,103,1.120757565,-10.54397811,1.638635718,2.75057317,1032.26024,100500.9045,-5.87e-05,-1.73e-18,0.154506142,96.71107388,3.201683898,2120
"99",2016010516,104,0.077011034,-10.19609137,0.862666463,2.738778367,731.0836748,100485.1775,-3.93e-05,-1.73e-18,0.154420214,54.92603531,2.87142828,1600
