ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016010422,86,-1.782467307,-18.33337958,-0.863876208,-2.70900533,177.8498239,102856.2908,-4.54E-06,-1.73E-18,0.149117224,55.56532111,2.843412031,0
2016010423,87,-2.943269524,-19.88691128,-1.35622449,-2.773169059,221.6678666,102906.7633,-4.87E-06,-1.73E-18,0.149117224,81.87319648,3.087039277,0
2016010500,88,-3.352964424,-19.8684298,-1.473661299,-2.564165146,217.360611,102938.2172,-4.74E-06,-1.73E-18,0.149117224,93.89146071,2.9574686,0
2016010501,89,-3.509038672,-20.02932742,-1.49936445,-2.502360378,215.786806,102899.4485,-4.67E-06,-1.73E-18,0.149117224,97.16694978,2.917173497,0
2016010502,90,-3.46026547,-19.54337313,-1.558304433,-2.535385827,220.3425572,102893.9623,-4.39E-06,-1.73E-18,0.149117224,99.19832456,2.975986223,0
2016010503,91,-3.656577609,-19.58468468,-1.665991771,-2.494811704,223.3245034,102870.5547,-5.59E-06,-1.73E-18,0.149117224,105.9794558,2.999935669,0
2016010504,92,-4.672279549,-20.23262373,-1.671752822,-2.441970985,224.8983083,102842.3925,-5.42E-06,-1.73E-18,0.149117224,108.0557511,2.959388415,0
2016010505,93,-4.618629027,-20.30763681,-1.576473902,-2.260802808,215.289815,102833.9804,-5.19E-06,-1.73E-18,0.149117224,109.6049479,2.756174759,0
2016010506,94,-5.891609609,-20.5718133,-1.58090548,-1.934794448,213.6331782,102832.8832,-4.84E-06,-1.73E-18,0.149190877,123.3137662,2.498537911,0
2016010507,95,-5.934286161,-20.31524683,-1.438651835,-1.543678775,172.4657544,102867.2631,-4.35E-06,-1.73E-18,0.149190877,135.0353365,2.11013347,0
2016010508,96,-6.12206299,-20.63160633,-1.339384495,-1.597463077,162.7744292,102940.7774,-4.39E-06,-1.73E-18,0.149190877,125.5945075,2.084667625,0
2016010509,97,-4.919803551,-18.18661486,-1.213084531,-1.821564338,285.3655506,102984.6666,-1.33E-05,-1.73E-18,0.149190877,105.7520734,2.188531634,0
2016010510,98,-1.065501232,-19.24440797,-0.426479489,-1.922056061,484.410459,102973.3286,-2.87E-05,-1.73E-18,0.149190877,39.30292677,1.968802747,0
