0,1,2
346.0,2016011601.0,7073.0
347.0,2016011602.0,5286.0
348.0,2016011603.0,5343.0
349.0,2016011604.0,4257.0
350.0,2016011605.0,4078.0
351.0,2016011606.0,3807.0
352.0,2016011607.0,3992.0
353.0,2016011608.0,4649.0
354.0,2016011609.0,4737.0
355.0,2016011610.0,5240.0
356.0,2016011611.0,4191.0
357.0,2016011612.0,5447.0
358.0,2016011613.0,5651.0
359.0,2016011614.0,5536.0
360.0,2016011615.0,4526.0
361.0,2016011616.0,4926.0
362.0,2016011617.0,4675.0
363.0,2016011618.0,4526.0
364.0,2016011619.0,3864.0
365.0,2016011620.0,2350.0
366.0,2016011621.0,408.0
367.0,2016011622.0,428.0
368.0,2016011623.0,932.0
0.0,2016011700.0,0.0
369.0,2016011701.0,1097.0
370.0,2016011702.0,871.0
371.0,2016011703.0,571.0
372.0,2016011704.0,523.0
373.0,2016011705.0,154.0
374.0,2016011706.0,728.0
375.0,2016011707.0,654.0
376.0,2016011708.0,656.0
377.0,2016011709.0,966.0
378.0,2016011710.0,754.0
379.0,2016011711.0,1494.0
380.0,2016011712.0,1747.0
381.0,2016011713.0,1893.0
382.0,2016011714.0,1559.0
383.0,2016011715.0,1928.0
384.0,2016011716.0,1907.0
385.0,2016011717.0,119.0
386.0,2016011718.0,221.0
387.0,2016011719.0,141.0
388.0,2016011720.0,103.0
389.0,2016011721.0,156.0
390.0,2016011722.0,91.0
391.0,2016011723.0,10.8
0.0,2016011800.0,0.0
392.0,2016011801.0,667.0
393.0,2016011802.0,610.0
394.0,2016011803.0,572.0
395.0,2016011804.0,172.0
396.0,2016011805.0,212.0
397.0,2016011806.0,207.0
398.0,2016011807.0,303.0
399.0,2016011808.0,188.0
400.0,2016011809.0,235.0
401.0,2016011810.0,313.0
402.0,2016011811.0,223.0
403.0,2016011812.0,329.0
404.0,2016011813.0,542.0
405.0,2016011814.0,475.0
406.0,2016011815.0,649.0
407.0,2016011816.0,357.0
408.0,2016011817.0,206.0
409.0,2016011818.0,892.0
410.0,2016011819.0,1155.0
411.0,2016011820.0,848.0
412.0,2016011821.0,759.0
413.0,2016011822.0,924.0
414.0,2016011823.0,734.0
0.0,2016011900.0,0.0
415.0,2016011901.0,1600.0
416.0,2016011902.0,1318.0
417.0,2016011903.0,612.0
418.0,2016011904.0,452.0
419.0,2016011905.0,207.0
420.0,2016011906.0,521.0
421.0,2016011907.0,253.0
422.0,2016011908.0,576.0
423.0,2016011909.0,335.0
424.0,2016011910.0,147.0
425.0,2016011911.0,617.0
426.0,2016011912.0,1253.0
427.0,2016011913.0,1856.0
428.0,2016011914.0,1731.0
429.0,2016011915.0,2779.0
430.0,2016011916.0,2312.0
431.0,2016011917.0,2397.0
432.0,2016011918.0,1955.0
433.0,2016011919.0,1741.0
434.0,2016011920.0,1509.0
435.0,2016011921.0,1487.0
436.0,2016011922.0,1287.0
437.0,2016011923.0,1167.0
